Name;URL;Pattern;Difficulty;Premium;Companies
Lowest Common Ancestor of a Binary Tree;https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/;DFS,DFS;Medium;false;Facebook,Amazon,LinkedIn,Google,Microsoft,Adobe,Apple,Salesforce,Oracle,Bloomberg,Intuit,Intuit
All Nodes Distance K in Binary Tree;https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/;BFS,BFS,DFS,DFS;Medium;false;Facebook,Amazon,Apple,Oracle,Oracle
Alien Dictionary;https://leetcode.com/problems/alien-dictionary;Graph,Graph,Topological Sort,Topological Sort;Hard;true;Facebook,Google,Amazon,Airbnb,Pinterest,Uber,Microsoft,Microsoft
Maximum Frequency Stack;https://leetcode.com/problems/maximum-frequency-stack/;Bucket Sort,Bucket Sort,Heap,Heap;Hard;false;Microsoft,Amazon,Apple,Facebook,Facebook
Course Schedule III;https://leetcode.com/problems/course-schedule-iii/;Greedy,Greedy,Heap,Heap;Hard;false;Amazon,Amazon
Rearrange String k Distance Apart;https://leetcode.com/problems/rearrange-string-k-distance-apart;Greedy,Greedy,Heap,Heap;Hard;true;Twitter,Twitter
Binary Tree Maximum Path Sum;https://leetcode.com/problems/binary-tree-maximum-path-sum/;DFS,DFS;Hard;false;Facebook,Amazon,Google,Microsoft,Adobe,Bloomberg,Oracle,Snapchat,Snapchat
Serialize and Deserialize Binary Tree;https://leetcode.com/problems/serialize-and-deserialize-binary-tree/;Design,Design;Hard;false;LinkedIn,Amazon,Microsoft,Facebook,Oracle,Uber,Adobe,Snapchat,Qualtrics,Google,Quora,Quora
Word Search II;https://leetcode.com/problems/word-search-ii/;DFS,DFS,Trie,Trie;Hard;false;Amazon,Uber,Microsoft,Apple,Twitter,Snapchat,Facebook,Bloomberg,Google,Salesforce,Salesforce
Find Median from Data Stream;https://leetcode.com/problems/find-median-from-data-stream/;Heap,Heap;Hard;false;Amazon,Microsoft,Apple,Facebook,Google,Bloomberg,Uber,Airbnb,Airbnb
Substring with Concatenation of All Words;https://leetcode.com/problems/substring-with-concatenation-of-all-words/;Sliding Window,Sliding Window;Hard;false;Apple,Apple
Minimum Window Substring;https://leetcode.com/problems/minimum-window-substring/;Sliding Window,Sliding Window;Hard;false;Facebook,Amazon,LinkedIn,Snapchat,Google,Lyft,Adobe,Adobe
